author,normalized_content,normalized_title
Delfina Acosta,ayer soñé contigo dios trueno doce alta luna vieja noche entumecida fiebre pobre dios hizo furia venías decirme di gorrión amado alegre fuga arrepentida miedosa sentí rosa única oíamos mar golpear pecho blanca estatua espuma veíamos cielo derramarse amor luz cura instante grillo rama calló grillo flores muchas lámpara mano miré vi rostro llanto criatura,rostro dios
Vicente Aleixandre,amo sueño viento confluyes dedos olvidado norte dulces mañanas mundo cabeza abajo fácil sonreír lluvia blanda seno río viajar delicia oh peces amigos decidme secreto ojos abiertos miradas van dar mar sosteniendo quilla barcos lejanos amo viajadores mundo dormís agua hombres van américa busca vestidos dejan playa desnudez dolida cubiertas barco atraen rayo luna caminar esperando risueño hermoso plata oro cambiado fondo botan ondas lomo escamado hacen música sueño pelos rubios fondo río deseo marcha pueblos innúmeros yemas oscuridades vestido negro dejado lejos dibujadas espalda esperanza tierra mejilla inmenso párpado sé existo acuerdas mundo nacido noche suma resta clave sueños peces árboles piedras corazones medallas concéntricas ondas detenidas muevo si giro busco oh centro oh centro camino viajadores mundo futuro existente allá mares pulsos laten,poema amor
Ricardo Dávila Díaz Flores,sueño nunca duermo miro duermes lado ronroneas bajito haces ruidos ángel pronto despiertas brazos abren largo bostezo manos pasan cuello preguntas hablo sigo leyendo cuello miro cansarme tomas mano desenredas silencio orilla dedos comienza hablar respiración lenguaje gestos suspiros mueves si acariciara aire lento recuestas vez hundes labios lentamente acaricio rostro si latiera corazón mundo mientras ojos lentos guardan luz dentro alma duermas dices voz viene lejos prometo prometo voy dormirme aún caes dormida sigo prometiendo,balada despierto
Pablo Neruda,patria monte patria río ven conmigo noche monte sube hambre baja río ven conmigo quiénes sufren sé ven conmigo sé llaman dicen sufrimos ven conmigo dicen pueblo pueblo desdichado monte río hambre dolores quiere luchar solo esperando amigo oh amo pequeña grano rojo trigo dura lucha vida dura vendrás conmigo,monte río
Nicolás Guillén,monsieur dupont llama inculto ignoras cuál nieto preferido víctor hugo herr mller puesto gritar sabes día exacto murió bismark amigo mr smith inglés yanqui sé subleva escribes shell parece ahorras ele además pronuncias chel bueno toque mándales decir cacarajícara aconcagua quién sucre lugar planeta murió martí favor hablen siempre español,problemas subdesarrollo
Mario Benedetti,espejo sagaz sabe poro poro desarruga ceño bienquiere pule mejillas despeina años mira ojos bienquiere depura gestos pone sonrisa transmite confianza bienquiere aviso pensarlo dos veces descuelga clavo destroza,espejo sagaz
María Eugenia Caseiro,deseo ríos palmeras tiembla dedos enredándose voz tiempo tan cansado va nombrando calles nadie pasado llorando entonces juego recuerdo piña fermentándose venas labios desean azúcar tiempo regreso amarillo girasol despierto centro fieltro encrucijando tiempos,deseo
Lope de Vega,bien puedo pintar hermosura cinco retratar elena pues filis siendo morena ángel lope llamó nieve pura bien puedo fingir escultura disculpe amor dulce vena convertir filene filomena brillando claros sombra escura mas puede ser algún letor extrañe musas amor hiperboleas viéndola después desengañe pues si hallar partes feas juana quiera dios nadie engañe basta tan linda,atreve pintar dama
Alfredo Lavergne,hechizo artificio dar hito país persigue avasalla cosas dicho versátil aún desdichado mayor calles breve estancia nueva my generation poder abandonar recuerdo identidad nacional carrera mirando atrás temo hoja blanco papel histórico cabeza nómada remunerada,ruido voz
Jordi Doce,cuarto penumbra cerco lámpara arde página dedos aferran cuaderno recogidos trazan nuevos signos serena mudez calle moldura silencio nadie bajo sauces bajo farola tibiamente alumbrada frescor noche junio noche velas deslumbra foco blanco página mano absorta detenido tiempo allá cuarto noche imanta cuanto escribes cuanto vino escribirte,imán
José de Espronceda,sol esconde rayos mundo sombras vela ave nido vuela busca asilo trovador calla pobre cama duerme pastor venturoso lecho suntoso agita insomme señor agita mas ay reposa fin patrio suelo llora mísero duelo libertad perdió campos ve infancia horas dieron contento oído halaga acento país nació gime ilustre cautivo doradas cadenas si bien encanto llenas cabo cadenas si acaso triste lamenta torno ve amigos pena testigos consuelan corazón arrogante erguida palma desierto florece viajero sombra ofrece descanso grato manjar aunque sola allí querida árabe errante fiero siempre va placentero sombra reposar mas ay triste cautiva huérfana sola suspiro clima extraño respiro amo extraño hallan ojos patria humo sido amores nadie calma dolores celos siento arder ah llorar llorar puedo ceder tristura consuelo amargura podré jamás encontrar supe amar ninguna supe amar correspondida despreciada aborrecida sabré odiar adiós patria adiós amores infeliz zoraida ahora sólo venganzas implora condenada morir castellano sumisa enamorada cautiva cansada dejarse oprimir,cautiva
Luis Benítez,espléndido encaje terrores lujosos trágica risa viste días hombres cosas abandonó mundo contigo marcel schwob evocarte tarde libros noche escritorio tiempo mismo confunde oscuridades nadie descubre tan sólo desentierra secretos olvidados verdades descartadas ves mujer amo leído monelle hermana conoce vidas imaginaria horas completan tardes palabras tres pactado ninguno sabe cómo cuándo,marcel schwob
Juan José Vélez Otero,encuentro razón tristeza viene sigilosa ventana entiendo tardes domingo atreva aviso visitarme pasteles bajo brazo acicalada familiares presencia estéril estatua mira sienta junto mesa tazas café sorbe despacio copas licor difuminan blanca realidad espejos oigo musitar entenderla apenas saber acompaña vestida amarillo perlas grises cayéndole hacia seno perfumado vierte resina aliento antiguo redoma horas lléname sala humo dulce aroma capilla cadalso después besa fría mejillas vuelve cristales noche colmando vacío fragmentos vida conducen,encuentro razón tristeza
Lope de Vega,entro mismo verme dentro hallo ay razón postrada loca república alterada apenas umbrales entro apetito sensitivo encuentro voluntad mal respetada queja cielo fuerza armada conduce alma verdadero centro virtud arte hallarse suele cerca difícil así pienso cuerpo castigo desvele muera ardor apetito intenso voluntad centro vuele capaz potencia bien inmenso,entro mismo verme
María Eugenia Caseiro,llorando paño roto noche niñez ahora entiende reniega llanto inmóvil desnuda frente oscuridad viento encendiendo vela blanca alma viejos zapatos muertos enferma sueños fuentes contagiada terrible blanca pena saberme cierta vestidos ayer pleno vuelo llorando ahora sombra increíble propia lágrima hoja blanco sonrisa ausencia discursos viajando tren tan poca memoria alumbrándome antiguas lunas sucio brillo aquellas farolas llorando fijeza tiempo posada renglón aprisiona,llanto zapatos muertos
Mario Meléndez,eva colgaba muertos ventana aire lamiera rostros preñados cicatrices miraba rostros sonreía mientras viento empujaba senos hacia noche agusanada orgía aromas sacudía silencio deseaba misma suspiros adioses grillo ciego desmalezaba antiguos violines nadie acercaba eva daba mamar muertos cólera frío disputaban adolescencia orgasmo daba paso horror deseo sangre pequeñas criaturas violentas despegaban vientre poblando amaneceres luto pesadillas luego quedaba calma sombras fin regresaban origen eva guardaba muertos besándolos boca dormía desnuda próxima luna llena,sinfonía negra
Juan Ramón Mansilla,pregunto cómo vida junto cómo zapatillas noche pijama cómo colocarás ropa armario lugar mesa preferirás sentarte cómo dirás nombre momentos dulces amargos si dormirás costado bocarriba cómo hueco cama despertar tras habernos amado si capaces sumar dispondremos números resta preguntas preguntas cuya respuesta recoge ningún manual supervivencia tan preciso saber si día día respondes conmigo,preguntas
Nacho Buzón,dragón pies cama esperando día levante mal pie entonces ñam ñam tiburón dentro bañera esperando día resbale caiga dentro entonces ñam ñam oso polar metido nevera esperando día beba cerveza entonces ñam ñam zoológico metido cabeza esperando día metas cama entonces ñam ñam,entonces
Salvador García Ramírez,sola plano planta amanecer fatiga habiba arregla camas repone toallas faltarle sonrisa,servicio
Jorge Guillén,je soutenais léclat mort toute pure valéry alguna vez angustia certeza estremece futuro acechándolo pronto muro arrabal final tropieza luz campo mas tristeza si desnuda sol apuro todavía urgente maduro fruto mano descorteza día días triste tenderse deberá mano afán acatando inminente poder diré lágrimas embiste justa fatalidad muro cano va imponerme ley accidente,muerte lejos
Luis de Góngora,bien matizada librea plumas color negro bonete manga blanca roquete atada brazo prenda niquea cifra hable mote lea bien guarnecida espada jinete borceguí nuevo plata tafilete jaez propio bozal guinea caballo valenzuela bien tratado lanza junte cuento hierro veleta amadís espera entrar cuidosamente descuidado firme silla atento carrera quiera dios atraviese perro,burlándose caballero prevenido
Mario Benedetti,paciencia verde sólida caimán paciencia prueba balas promesas sabemos aguantar delirios acecho hacer almácigos odios mejores esperanza blanca prójima paloma mensajera esperanza prueba terremotos congojas sabemos esperar rodeados muerte sabemos desvelarnos vida alegría temprana gallo alegría convicta maniatada rabiosa sabemos cómo desatarla sabemos alba cantarán gallísimos sueños,gallos sueños
Jorge Debravo,camino despacio retrocede espaldas árboles alejado hacia poniente tierra aleja alguna vez luna paisaje amor vida reloj muñeca dice cinco tarde hora adioses hora misma tarde agita nubecillas despedida,despedida
Byron Espinoza,persistente continua cuerpo gotear,persistente
Mario Benedetti,accidente explosión terremoto atentado salvan cuatro cinco creemos insensatos derrotamos muerte muerte nunca impacienta seguramente sabe mejor nadie sobrevivientes muerten,sobrevivientes
Ángeles Carbajal,loco enamorado día atendí razones ahora sombra airada recorre desconsuelo,
Bertolt Brecht,sé amada ahora cae pelo vida salvaje tumbo piedras veis beber aguardiente barato camino desnudo viento tiempo amada puro mujer fuerte hierba fuerte toro vuelve erguir vio malo amó preguntó dónde conducía camino camino quizás iba hacia abajo dio cuerpo dijo cuerpo ahora ningún lado desapareció nube llovido abandoné cayó pues ése camino noche veces veis beber veo cara pálida viento fuerte vuelta hacia inclino viento,canción amada
